Mid USD COP ARS AUD BRL CAD CHF CLP CNH CNY EUR GBP JPY KRW MXN MYR NOK NZD PEN RUB SEK ZAR DKK CZK CRC HNL GTQ CLF UVR SGD HKD DOP VEF PLN TRY HUF KWD TTD IDR ILS INR PHP PYG THB TWD UYU UDI NIO ANG XCD GYD ETB JMD AED QAR BGN MAD
SEK 0.105882 402.012 147.508645 0.148106 0.532845 0.145647 0.083264 96.001412 0.721493 0.721125 0.091058 0.079266 16.78747 158.783464 1.839592 0.418339 0.987525 0.181278 0.363452 7.716526 1 1.76415 0.680459 2.215717 48.026647 2.817784 0.807169 0.00238 0.979179 0.135531 0.829221 6.293647 53.736999 0.386678 4.822419 32.760881 0.032437 0.714208 1862.332908 0.309388 10.161537 6.532326 645.427059 3.459206 3.342706 4.266741 0.208049 3.877867 0.189529 0.285882 22.150588 16.664082 16.69464 0.388853 0.386047 0.178091 0.9765
ZAR 0.060019 227.878526 83.61455 0.083953 0.30204 0.08256 0.047198 54.417928 0.408975 0.408766 0.051616 0.044932 9.515895 90.005626 1.042764 0.237133 0.559774 0.102757 0.206021 4.374075 0.566845 1 0.385715 1.255968 27.223669 1.597247 0.45754 0.001349 0.555043 0.076825 0.47004 3.567523 30.460554 0.219187 2.733564 18.570345 0.018387 0.404845 1055.654256 0.175375 5.760017 3.702817 365.857156 1.960834 1.894796 2.418581 0.117932 2.19815 0.107434 0.162051 12.555952 9.445953 9.463275 0.220419 0.218829 0.10095 0.553524
DKK 0.155604 590.795389 216.778174 0.217656 0.783067 0.214043 0.122364 141.083329 1.060303 1.059763 0.133819 0.116489 24.670806 233.347607 2.703458 0.61479 1.451263 0.266406 0.534127 11.340179 1.469596 2.592589 1 3.256209 70.579788 4.141005 1.186212 0.003497 1.438997 0.199176 1.21862 9.249121 78.9717 0.568261 7.087009 48.145274 0.047669 1.049598 2736.877743 0.454676 14.933358 9.599882 948.517284 5.083637 4.912429 6.270387 0.305749 5.698899 0.278532 0.420132 32.552425 24.489475 24.534383 0.571457 0.567333 0.261723 1.435061
CZK 0.047787 181.436559 66.573786 0.066843 0.240484 0.065734 0.037579 43.327477 0.325625 0.325459 0.041096 0.035774 7.576542 71.662352 0.830247 0.188805 0.445691 0.081815 0.164034 3.482632 0.451321 0.796199 0.307106 1 21.675446 1.271726 0.364292 0.001074 0.441924 0.061168 0.374245 2.840457 24.25265 0.174516 2.17646 14.785682 0.01464 0.322337 840.510418 0.139633 4.586118 2.948177 291.294948 1.561213 1.508634 1.925671 0.093897 1.750164 0.085539 0.129025 9.997031 7.520854 7.534646 0.175498 0.174231 0.080376 0.440715
CRC 0.002205 8.370603 3.071392 0.003084 0.011095 0.003033 0.001734 1.99892 0.015023 0.015015 0.001896 0.00165 0.349545 3.306153 0.038304 0.008711 0.020562 0.003775 0.007568 0.160672 0.020822 0.036733 0.014168 0.046135 1 0.058671 0.016807 0.00005 0.020388 0.002822 0.017266 0.131045 1.1189 0.008051 0.100411 0.68214 0.000675 0.014871 38.777075 0.006442 0.211581 0.136015 13.438936 0.072027 0.069601 0.088841 0.004332 0.080744 0.003946 0.005953 0.461215 0.346976 0.347612 0.008097 0.008038 0.003708 0.020332
HNL 0.037576 142.669583 52.349176 0.052561 0.189101 0.051689 0.029549 34.069832 0.25605 0.255919 0.032316 0.028131 5.957686 56.350483 0.652851 0.148464 0.350462 0.064334 0.128985 2.738509 0.354889 0.626077 0.241487 0.786333 17.044122 1 0.286455 0.000845 0.3475 0.048098 0.294281 2.233545 19.070663 0.137228 1.711423 11.626472 0.011512 0.253465 660.921213 0.109798 3.606216 2.31825 229.054877 1.227634 1.186289 1.514219 0.073834 1.376212 0.067262 0.101456 7.860997 5.913897 5.924742 0.138 0.137004 0.063203 0.346549
GTQ 0.131177 498.052014 182.748221 0.183488 0.66014 0.180442 0.103155 118.935993 0.893856 0.893401 0.112812 0.098203 20.79797 196.716576 2.279068 0.51828 1.223443 0.224586 0.45028 9.559991 1.238898 2.185603 0.843019 2.745048 59.500135 3.490947 1 0.002948 1.213103 0.167909 1.02732 7.797189 66.574681 0.479055 5.974486 40.587403 0.040186 0.884831 2307.241218 0.3833 12.589112 8.092888 799.618536 4.285605 4.141273 5.286059 0.257752 4.804283 0.234808 0.354179 27.442328 20.645105 20.682962 0.481749 0.478273 0.220637 1.209784
CLF 44.492941 168929.909594 61984.771635 62.235783 223.907245 61.202666 34.988257 40340.86 303.179351 303.024939 38.263623 33.308484 7054.281609 66722.575926 773.017025 175.790739 414.968996 76.175221 152.72647 3242.569923 420.211112 741.315613 285.936405 931.068748 20181.330771 1184.063951 339.18126 1 411.461772 56.951577 348.447686 2644.66043 22580.884036 162.486477 2026.433842 13766.486424 13.630413 300.118237 782572.982521 130.008313 4269.990789 2744.955815 271215.622162 1453.596789 1404.642156 1792.932055 87.424695 1629.522829 79.642365 120.130941 9307.923316 7002.432578 7015.27324 163.400327 162.221264 74.835995 410.336151
UVR 0.108134 410.5604 150.645275 0.151255 0.544175 0.148744 0.085034 98.04279 0.736835 0.73646 0.092994 0.080952 17.14444 162.159842 1.878709 0.427235 1.008524 0.185133 0.37118 7.88061 1.021264 1.801663 0.694928 2.262832 49.047888 2.877701 0.824332 0.00243 1 0.138413 0.846853 6.427475 54.879665 0.394901 4.924963 33.45751 0.033127 0.729395 1901.933633 0.315967 10.377612 6.671229 659.151447 3.532763 3.413785 4.357469 0.212473 3.960326 0.19356 0.291961 22.621599 17.018428 17.049636 0.397122 0.394256 0.181878 0.997264
SGD 0.781242 2966.202489 1088.376738 1.092784 3.931537 1.074644 0.614351 708.336135 5.323458 5.320747 0.671862 0.584856 123.864553 1171.566783 13.573233 3.08667 7.286348 1.337544 2.68169 56.93556 7.378393 13.016595 5.020693 16.348428 354.359472 20.790714 5.955608 0.017559 7.224765 1 6.118315 46.437001 396.492691 2.853064 35.581698 241.722655 0.239333 5.269709 13741.023918 2.282787 74.975813 48.198065 4762.214432 25.523381 24.663797 31.481693 1.535071 28.612427 1.398422 2.109352 163.435743 122.954147 123.179613 2.86911 2.848407 1.314028 7.205001
HKD 0.127689 484.807092 177.888315 0.178609 0.642585 0.175644 0.100412 115.773075 0.870086 0.869643 0.109812 0.095591 20.24488 191.485203 2.218459 0.504497 1.190908 0.218613 0.438305 9.305758 1.205952 2.12748 0.820601 2.672047 57.917821 3.398111 0.973407 0.00287 1.180842 0.163444 1 7.589835 64.80423 0.466315 5.815604 39.508044 0.039118 0.861301 2245.883709 0.373107 12.254324 7.87767 778.353919 4.171636 4.031142 5.145484 0.250898 4.676521 0.228563 0.34476 26.712542 20.09608 20.132931 0.468938 0.465554 0.21477 1.177612
DOP 0.016824 63.875841 23.437705 0.023533 0.084664 0.023142 0.01323 15.253701 0.114638 0.11458 0.014468 0.012595 2.667368 25.229166 0.292293 0.06647 0.156908 0.028803 0.057749 1.226082 0.15889 0.280307 0.108118 0.352056 7.630972 0.447719 0.128251 0.000378 0.155582 0.021535 0.131755 1 8.538292 0.061439 0.766236 5.205389 0.005154 0.113481 295.906792 0.049159 1.614571 1.037924 102.552153 0.549635 0.531124 0.677944 0.033057 0.616156 0.030114 0.045424 3.519515 2.647762 2.652618 0.061785 0.061339 0.028297 0.155156
VEF 0.00197 7.481103 2.745011 0.002756 0.009916 0.00271 0.001549 1.786505 0.013426 0.01342 0.001695 0.001475 0.312401 2.954826 0.034233 0.007785 0.018377 0.003373 0.006764 0.143598 0.018609 0.032829 0.012663 0.041233 0.893735 0.052437 0.015021 0.000044 0.018222 0.002522 0.015431 0.117119 1 0.007196 0.089741 0.609652 0.000604 0.013291 34.656437 0.005757 0.189098 0.121561 12.01085 0.064373 0.062205 0.0794 0.003872 0.072164 0.003527 0.00532 0.412204 0.310104 0.310673 0.007236 0.007184 0.003314 0.018172
PLN 0.273826 1039.655195 381.476495 0.383021 1.378005 0.376663 0.21533 248.272107 1.865874 1.864924 0.235488 0.204992 43.414577 410.63464 4.757424 1.081879 2.553868 0.46881 0.939933 19.955937 2.58613 4.562322 1.759755 5.730131 124.203141 7.287154 2.087443 0.006154 2.532283 0.3505 2.144472 16.276188 138.970852 1 12.4714 84.72389 0.083886 1.847035 4816.234546 0.800118 26.279053 16.893442 1669.158121 8.945955 8.644671 11.034346 0.538043 10.028667 0.490148 0.739329 57.284295 43.095479 43.174505 1.005624 0.998368 0.460568 2.525356
TRY 0.021956 83.363151 30.588105 0.030712 0.110493 0.030202 0.017266 19.907317 0.149612 0.149536 0.018882 0.016437 3.481131 32.926106 0.381467 0.086749 0.204778 0.037591 0.075367 1.600136 0.207365 0.365823 0.141103 0.459462 9.959038 0.584309 0.167378 0.000493 0.203047 0.028104 0.171951 1.305081 11.143164 0.080183 1 6.793455 0.006726 0.148102 386.18235 0.064156 2.107145 1.354575 133.838873 0.717318 0.69316 0.884772 0.043142 0.804133 0.039302 0.059282 4.593253 3.455545 3.461881 0.080634 0.080053 0.03693 0.202492
HUF 0.003232 12.271098 4.502585 0.004521 0.016265 0.004446 0.002542 2.930367 0.022023 0.022012 0.002779 0.00242 0.512424 4.84674 0.056152 0.012769 0.030143 0.005533 0.011094 0.235541 0.030524 0.053849 0.02077 0.067633 1.465975 0.086011 0.024638 0.000073 0.029889 0.004137 0.025311 0.192109 1.640279 0.011803 0.147201 1 0.00099 0.021801 56.846239 0.009444 0.310173 0.199394 19.701151 0.10559 0.102033 0.130239 0.006351 0.118369 0.005785 0.008726 0.676129 0.508658 0.509591 0.011869 0.011784 0.005436 0.029807
KWD 3.26424 12393.602089 4547.534519 4.56595 16.427034 4.490155 2.566926 2959.621348 22.242859 22.231531 2.807224 2.443689 517.539845 4895.125193 56.712665 12.896949 30.444346 5.588622 11.204831 237.89228 30.828936 54.38688 20.977825 68.308185 1480.610413 86.869267 24.884152 0.073365 30.187037 4.178272 25.563987 194.02644 1656.65448 11.920877 148.67003 1009.983107 1 22.01828 57413.741441 9.538106 313.269372 201.384646 19897.82928 106.643638 103.052065 131.539089 6.413943 119.550514 5.84299 8.813449 682.87906 513.735923 514.677983 11.987922 11.90142 5.490369 30.104456
TTD 0.148251 562.877856 206.534506 0.207371 0.746063 0.203929 0.116582 134.416557 1.0102 1.009685 0.127495 0.110985 23.505008 222.320965 2.575708 0.585738 1.382685 0.253817 0.508888 10.804308 1.400152 2.470079 0.952746 3.10234 67.2446 3.945325 1.130159 0.003332 1.370999 0.189764 1.161035 8.812062 75.23996 0.541408 6.752118 45.87021 0.045417 1 2607.548914 0.43319 14.227695 9.146248 903.695907 4.843414 4.680296 5.974086 0.291301 5.429603 0.26537 0.400279 31.014188 23.332246 23.375032 0.544453 0.540525 0.249355 1.367248
IDR 0.000057 0.215865 0.079206 0.00008 0.000286 0.000078 0.000045 0.051549 0.000387 0.000387 0.000049 0.000043 0.009014 0.085261 0.000988 0.000225 0.00053 0.000097 0.000195 0.004143 0.000537 0.000947 0.000365 0.00119 0.025788 0.001513 0.000433 0.000001 0.000526 0.000073 0.000445 0.003379 0.028855 0.000208 0.002589 0.017591 0.000017 0.000384 1 0.000166 0.005456 0.003508 0.346569 0.001857 0.001795 0.002291 0.000112 0.002082 0.000102 0.000154 0.011894 0.008948 0.008964 0.000209 0.000207 0.000096 0.000524
ILS 0.342232 1299.377751 476.775447 0.478706 1.722253 0.47076 0.269123 310.294465 2.332 2.330812 0.294317 0.256203 54.260235 513.217765 5.945905 1.35215 3.191865 0.585926 1.174744 24.941251 3.232186 5.702063 2.19937 7.161609 155.231079 9.107602 2.60892 0.007692 3.164888 0.438061 2.680195 20.342241 173.688001 1.249816 15.586956 105.889278 0.104843 2.308454 6019.407246 1 32.843983 21.113695 2086.140613 11.180799 10.804249 13.790903 0.672455 12.533989 0.612594 0.924025 71.594832 53.861422 53.96019 1.256845 1.247776 0.575625 3.15623
INR 0.01042 39.562125 14.516371 0.014575 0.052437 0.014333 0.008194 9.447529 0.071002 0.070966 0.008961 0.007801 1.65206 15.62593 0.181035 0.041169 0.097183 0.01784 0.035767 0.759386 0.09841 0.173611 0.066964 0.218049 4.726317 0.277299 0.079434 0.000234 0.096361 0.013338 0.081604 0.61936 5.288275 0.038053 0.474576 3.224008 0.003192 0.070285 183.272757 0.030447 1 0.642848 63.516676 0.340422 0.328957 0.419891 0.020474 0.381622 0.018652 0.028134 2.179846 1.639917 1.642925 0.038267 0.037991 0.017526 0.096098
PHP 0.016209 61.541941 22.581337 0.022673 0.08157 0.022296 0.012746 14.69636 0.11045 0.110393 0.01394 0.012134 2.569907 24.307341 0.281614 0.064041 0.151175 0.027751 0.055639 1.181283 0.153085 0.270065 0.104168 0.339193 7.352151 0.43136 0.123565 0.000364 0.149897 0.020748 0.126941 0.963462 8.22632 0.059195 0.738239 5.015194 0.004966 0.109334 285.094929 0.047363 1.555577 1 98.805096 0.529552 0.511718 0.653173 0.031849 0.593643 0.029014 0.043764 3.390919 2.551018 2.555696 0.059527 0.059098 0.027263 0.149487
PYG 0.000164 0.622862 0.228544 0.000229 0.000826 0.000226 0.000129 0.148741 0.001118 0.001117 0.000141 0.000123 0.02601 0.246013 0.00285 0.000648 0.00153 0.000281 0.000563 0.011956 0.001549 0.002733 0.001054 0.003433 0.074411 0.004366 0.001251 0.000004 0.001517 0.00021 0.001285 0.009751 0.083258 0.000599 0.007472 0.050758 0.00005 0.001107 2.885427 0.000479 0.015744 0.010121 1 0.00536 0.005179 0.006611 0.000322 0.006008 0.000294 0.000443 0.034319 0.025819 0.025866 0.000602 0.000598 0.000276 0.001513
THB 0.030609 116.215109 42.642342 0.042815 0.154037 0.042104 0.02407 27.752442 0.208572 0.208466 0.026323 0.022915 4.852984 45.901708 0.531796 0.120935 0.285477 0.052405 0.105068 2.230722 0.289084 0.509987 0.19671 0.640528 13.88372 0.814575 0.233339 0.000688 0.283065 0.03918 0.239714 1.819391 15.534489 0.111782 1.394082 9.470636 0.009377 0.206466 538.370054 0.089439 2.937535 1.888389 186.582431 1 0.966322 1.233445 0.060144 1.121028 0.05479 0.082644 6.403374 4.817314 4.826148 0.112411 0.1116 0.051483 0.28229
TWD 0.031676 120.265442 44.128514 0.044307 0.159405 0.043572 0.024909 28.719671 0.215841 0.215731 0.027241 0.023713 5.02212 47.501476 0.55033 0.12515 0.295427 0.054231 0.10873 2.308467 0.299159 0.527761 0.203565 0.662851 14.367596 0.842965 0.241472 0.000712 0.29293 0.040545 0.248069 1.8828 16.075898 0.115678 1.442669 9.800707 0.009704 0.213662 557.133345 0.092556 3.039914 1.954203 193.085207 1.034852 1 1.276433 0.06224 1.160098 0.056699 0.085524 6.626544 4.985207 4.994349 0.116329 0.115489 0.053278 0.292129
UYU 0.024816 94.219917 34.571735 0.034712 0.124883 0.034136 0.019515 22.499938 0.169097 0.169011 0.021341 0.018578 3.934495 37.214224 0.431147 0.098047 0.231447 0.042486 0.085183 1.808529 0.234371 0.413466 0.15948 0.5193 11.256049 0.660406 0.189177 0.000558 0.229491 0.031764 0.194345 1.475048 12.594389 0.090626 1.130235 7.678198 0.007602 0.16739 436.476653 0.072512 2.381569 1.530987 151.269325 0.810737 0.783433 1 0.048761 0.908859 0.04442 0.067003 5.191453 3.905576 3.912738 0.091136 0.090478 0.041739 0.228863
UDI 0.508929 1932.290513 709.007579 0.711879 2.561144 0.700062 0.40021 461.435522 3.467891 3.466125 0.437675 0.380996 80.689805 763.200553 8.84209 2.010768 4.746588 0.871324 1.746949 37.089862 4.806549 8.479476 3.270659 10.649951 230.842449 13.543816 3.879696 0.011438 4.706471 0.651436 3.985689 30.250725 258.289536 1.858588 23.179192 157.466793 0.15591 3.432877 8951.395011 1.487089 48.841929 31.397945 3102.277003 16.626844 16.066881 20.508302 1 18.639159 0.910982 1.374108 106.467895 80.096734 80.243611 1.869041 1.855554 0.856005 4.693595
